,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PC7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18
Children,0.0035026296160565666,-0.0025983471006696904,0.019640841497289844,0.008743803287854034,-0.019486294316218303,-0.10616926149310502,0.9798853853452448,0.07600236468788175,0.13155500789636362,0.04882842593364476,0.034533864980307555,-0.000753314199610365,0.013148621431201074,-0.014685462005183596,-0.02236184475320892,-0.0088409540725494,-0.0018318387133786753,0.007822914214740151
TotalCharge,-0.02058305277420944,0.6859545436056697,0.11132325154503372,-0.13353878866328023,0.022663810756889554,0.008884380943975742,-0.0017630193881294843,-0.024070503314313065,0.007024227585231434,-0.009820140999045258,0.0033930276863059633,0.008644238715901045,-0.015601478843322199,0.001511717766952311,-0.015583620680884579,0.0465737329318766,-0.005723666218047747,0.7033631534707954
Additional_charges,0.004231691569466792,0.14250182799031344,0.0031727431713694542,0.6918707686054039,-0.020672355888523602,-0.004677573295782776,0.002380608305929697,-0.013628977879925945,-0.0012865793148617564,-0.01456224496752805,0.005083632299633845,-0.010444167633015061,0.014476565890988707,-0.025936787162393924,0.0508676182713437,0.7013695559252182,0.04307460351247111,-0.05240550151472342
Age,0.0007194671295743813,0.1389753800321796,0.012754162900506487,0.6917505786169823,-0.026766687557739255,-0.02995124406451372,-0.01650656034318864,-0.011179410728556272,0.008766832858098884,-0.019706422859904527,-0.004077146906654758,0.024885085327952083,-0.0031733172246387045,0.03102185239836418,-0.05669938202527771,-0.7008791477052134,-0.04451065518070112,0.03862255454075955
Full_meals_eaten,-0.0004621069266565307,-0.016009078209638396,0.019374508792627063,0.039894964256305815,0.5908487728709351,0.1377733055825085,0.047526815990620266,-0.3004664263594415,-0.2535102277168747,0.6838335530477988,0.058997989040634746,0.035969801235789356,-0.01106005559989572,0.0018073896689176838,0.01548333318086143,-0.010775639512635096,0.0005723934471323942,0.001329695001017892
Doc_visits,0.007044499238330434,-0.005192430699185855,-0.008477302942425501,0.014083209823228172,-0.11745771411137174,0.6515425405663281,-0.035715852946969974,-0.026950263636406617,0.7123227041182235,0.22378566510773001,-0.01491697953498062,0.028461870280758594,-0.024958062747903124,0.00792999196535174,-0.011047276614359544,-0.004210385457204203,-0.002116515110167663,-0.0009922583239532334
Initial_days,-0.021884191633806296,0.5752700055048238,0.10486896189195576,-0.1406982287999815,-0.2782607412693862,-0.23407327745081882,-0.025438072717419432,-0.29899822789125174,0.09612057986860707,0.21345418303164504,-0.013797375500332243,0.014245693986298076,0.02624460822940276,0.009031083700903957,0.014111304792901755,-0.03427133278935538,-0.010872504256271858,-0.5983880605765326
Income,-0.006953276662041025,-0.009186575094107845,-0.020497773356380894,-0.006146110107015992,-0.2822580170789655,0.5425470028062701,0.17496950322587282,-0.5391491090867502,-0.4681272324786822,-0.2810229701428129,-0.07531091546875615,-0.002778184885826853,-0.009172135023873595,-0.0006301460209360346,2.49747479310384e-05,-0.013833120912639937,-0.0021198759076720727,-0.00309117120082558
VitD_levels,-0.008901995129754819,0.3600052194935037,0.054892679806905695,-0.050481896268464145,0.4886338274825669,0.38061751495905416,0.05561829529996612,0.4394768987021527,-0.13450222532136685,-0.35048814540466133,0.008024266879503628,-0.006039367733151382,-0.021934581530844186,-0.0046160907544316385,0.010172985524382287,-0.0357481187458155,0.020507179995200152,-0.376233001245825
VitD_supp,-0.004877406341221146,0.04239442220559232,0.011698932882651291,0.0044207518473786955,-0.48525296111531285,0.21778651801501833,-0.0012120563693431877,0.5697701012690327,-0.40392479279903754,0.4741433263532338,0.04005126593391888,-0.024946887531075948,0.010310093229821812,-0.0019057861119671712,0.011069565355783366,-0.007261314346221307,-0.0005781525426174639,0.0016016193583057651
Timely_admis,0.4547708111996608,-0.038479705513388314,0.29410968845177143,0.0023106251708836733,0.007731855784516731,0.007254737716723502,0.0017138827957865416,0.01574771469277697,-0.007774545955582942,-0.012131569266374353,-0.09649483634069628,0.07423062161995111,-0.011835554907361698,0.08296330229152449,0.18570503133862973,0.04270542327724502,-0.8040334335421888,-0.0013083739371247518
Timely_treat,0.4284965916136839,-0.03584344297054727,0.2909438510710402,0.004034434429401526,-0.01490098350497407,-0.009545958522704562,0.012285141105243553,0.002830255716330269,0.00606891578135022,-0.0025727793487014565,-0.14896329258025157,0.13146534511940838,-0.05846184303648224,0.09710936620556938,0.624149847078096,-0.06948184393795259,0.5316724826134392,0.02319836667187032
Timely_visits,0.3952803041865971,-0.03596849348816341,0.2940247732236133,0.0013381893994955812,-0.007017713272878009,-0.012928085786353283,-0.016918931969347434,0.010267001766830182,-0.020877127902356133,0.015962843504885357,-0.20669725373870293,0.21182736919809428,-0.24042741044243396,-0.42860235032516514,-0.6218499962249237,0.02807030560117004,0.19436620767780566,-0.018579355768454986
Reliability,0.15209496696227903,0.08713403609061138,-0.550750785363128,-0.013415820994368725,0.007402242351601077,-0.03957924702020804,0.028453361032809304,0.03697385995840252,-0.02035419246831134,0.03486613839463464,-0.365357187121253,0.360618331102898,-0.3885264077853466,0.48264748524857526,-0.10551591738138415,0.03964161993977089,-0.00905858338723184,-0.010977881062921541
Options,-0.1898537597283641,-0.1024076609468459,0.5747418060901014,0.011848582891353156,-0.011002901707710426,0.00806498945221826,-0.006386776196572768,-0.006003507834549642,-0.007209504692626861,-0.020772938177558202,0.12364696696034773,-0.055688853583176025,-0.1348147294379692,0.6962980508344617,-0.2988207774423508,0.04886838923909659,0.09544857218297877,-0.008064820227789224
Hours_treat,0.41019027733677066,0.03928902179720774,-0.15969368925605062,-0.01381931825919962,0.024713645701796294,0.023966718699759512,-0.005904351517186665,0.0014959471649677958,-0.003046991334588164,0.006179403234439894,-0.04932277406991048,-0.06077041221061438,0.7945501592185967,0.27116788669118613,-0.27633816928785315,0.010944199799546524,0.12541757398258915,0.007592127336837096
Courteous_staff,0.3564767156417397,0.04847566476638378,-0.16780991401811418,0.002028689422801556,0.010169720476460543,-0.005812489546631807,0.0029725990559812997,-0.030748498369182975,0.013833512506667547,0.025974426942209732,0.044040702957606884,-0.8450535426301043,-0.3356551209280493,0.0707512812428817,-0.06204249378441412,-0.015615339438846949,0.05064593656317653,-0.008326371056869085
Active_listening,0.31254459771295584,0.033197241014502304,-0.16467379000007182,-0.012504780051200329,-0.05011039253418861,0.015562199366695995,-0.01784623076167913,-0.041896175949264716,-0.008120868004612997,-0.06520382203359754,0.8718645094963491,0.2785739741405441,-0.15097417623561496,0.04053985619432217,-0.0357981144792295,0.0029835621562122054,0.03417883273171832,-0.012207785156700991
